SN,TN,ORD,CN
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,1,ARR_CONTRACT_KEY
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,2,ARR_CONTRACT_ID
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,3,ARR_CONTRACT_NAME
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,4,ARR_CONTRACT_GROUP_ID
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,5,ARR_CONTRACT_GROUP_NAME
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,6,ARR_CONTRACT_VERSION_NAME
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,7,ROW_NATURAL_ID
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,8,EFFECTIVE_FROM_TS
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,9,EFFECTIVE_TO_TS
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,10,PROCESS_INSERT_ID
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,11,PROCESS_UPDATE_ID
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,12,TRANSACTION_TYPE_C
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,13,SOURCE_SYSTEM_C
BIA_BA_CAL,ARR_CONTRACT_VERSION_T,14,IS_DELETED_YN
BIA_BA_CAL,ASSR_TASK_T,1,TASK_ID
BIA_BA_CAL,ASSR_TASK_T,2,SUBMITTER
BIA_BA_CAL,ASSR_TASK_T,3,CREATE_DATE
BIA_BA_CAL,ASSR_TASK_T,4,ASSIGNED_TO
BIA_BA_CAL,ASSR_TASK_T,5,LAST_MODIFIED_BY
BIA_BA_CAL,ASSR_TASK_T,6,MODIFIED_DATE
BIA_BA_CAL,ASSR_TASK_T,7,STATUS
BIA_BA_CAL,ASSR_TASK_T,8,SUMMARY
BIA_BA_CAL,ASSR_TASK_T,9,ASSIGNEE_GROUPS
BIA_BA_CAL,ASSR_TASK_T,10,INSTANCEID
BIA_BA_CAL,ASSR_TASK_T,11,VENDOR_ASSIGNEE_GROUPS
BIA_BA_CAL,ASSR_TASK_T,12,ROOTREQUESTINSTANCEID
BIA_BA_CAL,ASSR_TASK_T,13,ROOTREQUESTNAME
BIA_BA_CAL,ASSR_TASK_T,14,ROOTREQUESTLEVEL
BIA_BA_CAL,ASSR_TASK_T,15,ROOTREQUESTMODE
BIA_BA_CAL,ASSR_TASK_T,16,ROOTREQUESTFORMNAME
BIA_BA_CAL,ASSR_TASK_T,17,ROOTREQUESTID
BIA_BA_CAL,ASSR_TASK_T,18,FAILURE_CODE
BIA_BA_CAL,ASSR_TASK_T,19,SCOPE_ID
BIA_BA_CAL,ASSR_TASK_T,20,INTERNALDONEQUALIFICATION
BIA_BA_CAL,ASSR_TASK_T,21,INTERNALSUCCESSQUALIFICATION
BIA_BA_CAL,ASSR_TASK_T,22,ZTMPDONE
BIA_BA_CAL,ASSR_TASK_T,23,ZUSAGE
BIA_BA_CAL,ASSR_TASK_T,24,ZPROMPT1VMREQID
BIA_BA_CAL,ASSR_TASK_T,25,ZPROMPT1VALUE
BIA_BA_CAL,ASSR_TASK_T,26,ZPROMPT2VMREQID
BIA_BA_CAL,ASSR_TASK_T,27,INSTANTIATIONNUMBER
BIA_BA_CAL,ASSR_TASK_T,28,ZPROMPT3VMREQID
BIA_BA_CAL,ASSR_TASK_T,29,ZPROMPT3VALUE
BIA_BA_CAL,ASSR_TASK_T,30,ZPROMPT2VALUE
BIA_BA_CAL,ASSR_TASK_T,31,IDENTIFIER
BIA_BA_CAL,ASSR_TASK_T,32,RETURNVALUE1
BIA_BA_CAL,ASSR_TASK_T,33,RETURNVALUE2
BIA_BA_CAL,ASSR_TASK_T,34,RETURNVALUE3
BIA_BA_CAL,ASSR_TASK_T,35,PARENT_TYPE
BIA_BA_CAL,ASSR_TASK_T,36,ZASSOCIATIONTEMPLATE_ID
BIA_BA_CAL,ASSR_TASK_T,37,PARENTID
BIA_BA_CAL,ASSR_TASK_T,38,FLOWID
BIA_BA_CAL,ASSR_TASK_T,39,ESCALATED
BIA_BA_CAL,ASSR_TASK_T,40,ESCALATION_REASON
BIA_BA_CAL,ASSR_TASK_T,41,EXPECTED_TIME_OUT
BIA_BA_CAL,ASSR_TASK_T,42,SECONDS_BEFORE_TIME_OUT
BIA_BA_CAL,ASSR_TASK_T,43,TIMEOUTSTATUS
BIA_BA_CAL,ASSR_TASK_T,44,ASSIGNED_TO_RULE_TYPE
BIA_BA_CAL,ASSR_TASK_T,45,TIMEOUTSTATUSREASONSELECTION
BIA_BA_CAL,ASSR_TASK_T,46,NOTIFY_ASSIGNEE
BIA_BA_CAL,ASSR_TASK_T,47,AUTOMATICDESCRIPTION
BIA_BA_CAL,ASSR_TASK_T,48,ELECTRONICFIELD1
BIA_BA_CAL,ASSR_TASK_T,49,ELECTRONICFIELD2
BIA_BA_CAL,ASSR_TASK_T,50,ELECTRONICFIELD3
BIA_BA_CAL,ASSR_TASK_T,51,TASKTYPE
BIA_BA_CAL,ASSR_TASK_T,52,REBUILD_FLOW_SESSION_ID
BIA_BA_CAL,ASSR_TASK_T,53,RETURN_CODE_ASSIGNEE
BIA_BA_CAL,ASSR_TASK_T,54,REASON_CODE_ASSIGNEE
BIA_BA_CAL,ASSR_TASK_T,55,ASSIGNEE_ID
BIA_BA_CAL,ASSR_TASK_T,56,ASSIGNEE_SELECT_FORM_ASSIGNEE
BIA_BA_CAL,ASSR_TASK_T,57,ASSIGNEE_GROUP_ID
BIA_BA_CAL,ASSR_TASK_T,58,ASSIGNEE_GROUP
BIA_BA_CAL,ASSR_TASK_T,59,Z1D_PREVIOUS_ASSIGNEEID
BIA_BA_CAL,ASSR_TASK_T,60,PROCESS_NAME
BIA_BA_CAL,ASSR_TASK_T,61,TASKSUBTYPE
BIA_BA_CAL,ASSR_TASK_T,62,STATUSREASONSELECTION
BIA_BA_CAL,ASSR_TASK_T,63,STATE
BIA_BA_CAL,ASSR_TASK_T,64,ASSIGN_TIME
BIA_BA_CAL,ASSR_TASK_T,65,ACTIVATE_TIME
BIA_BA_CAL,ASSR_TASK_T,66,SEQUENCE
BIA_BA_CAL,ASSR_TASK_T,67,USE_FOUNDATION_GROUP_ASSIGNMENT
BIA_BA_CAL,ASSR_TASK_T,68,USE_FOUNDATION_INDIVIDUAL_ASSIGNMENT
BIA_BA_CAL,ASSR_TASK_T,69,USE_FOUNDATION_NOTIFICATION
BIA_BA_CAL,ASSR_TASK_T,70,PARENTSIGNAL
BIA_BA_CAL,ASSR_TASK_T,71,EFFORTTRACKINGTOTALTIMESPENTHOURS
BIA_BA_CAL,ASSR_TASK_T,72,RETURNCODEVALUE
BIA_BA_CAL,ASSR_TASK_T,73,PENDINGSTARTTIME
BIA_BA_CAL,ASSR_TASK_T,74,NUMRETRIES
BIA_BA_CAL,ASSR_TASK_T,75,RETRYCOUNT
BIA_BA_CAL,ASSR_TASK_T,76,LAUNCHCOMMAND
BIA_BA_CAL,ASSR_TASK_T,77,DETAILSCOMMAND
BIA_BA_CAL,ASSR_TASK_T,78,DETAILSAPPGUID
BIA_BA_CAL,ASSR_TASK_T,79,AUTOMATICINTERVAL
BIA_BA_CAL,ASSR_TASK_T,80,AUTOMATICUNIT
BIA_BA_CAL,ASSR_TASK_T,81,AUTOMATICINTERVAL_SECONDS
BIA_BA_CAL,ASSR_TASK_T,82,RESULTSLDATA
BIA_BA_CAL,ASSR_TASK_T,83,AUTOMATICCOMMANDSELECTION
BIA_BA_CAL,ASSR_TASK_T,84,ZTMPRUNASSIGNMENT
BIA_BA_CAL,ASSR_TASK_T,85,FLAG
BIA_BA_CAL,ASSR_TASK_T,86,AUTOMATICAPPROVEFLAG
BIA_BA_CAL,ASSR_TASK_T,87,TASKNAME
BIA_BA_CAL,ASSR_TASK_T,88,ACTIONWHENCOMPLETE
BIA_BA_CAL,ASSR_TASK_T,89,VISIBLE
BIA_BA_CAL,ASSR_TASK_T,90,REQUIRED
BIA_BA_CAL,ASSR_TASK_T,91,PRIORITY
BIA_BA_CAL,ASSR_TASK_T,92,REPEATABLE
BIA_BA_CAL,ASSR_TASK_T,93,SIMULATION_MESSAGE
BIA_BA_CAL,ASSR_TASK_T,94,ELECTRONICDECIMAL
BIA_BA_CAL,ASSR_TASK_T,95,TIMEOUTVALUE
BIA_BA_CAL,ASSR_TASK_T,96,UNIT
BIA_BA_CAL,ASSR_TASK_T,97,TEMPLATEID
BIA_BA_CAL,ASSR_TASK_T,98,START_TIME
BIA_BA_CAL,ASSR_TASK_T,99,END_TIME
BIA_BA_CAL,ASSR_TASK_T,100,DURATION_IN_MINUTES
BIA_BA_CAL,ASSR_TASK_T,101,ZREPEATABLEINSTANCEID
BIA_BA_CAL,ASSR_TASK_T,102,ASSIGNED_TO_ID
BIA_BA_CAL,ASSR_TASK_T,103,ASSIGNEE
BIA_BA_CAL,ASSR_TASK_T,104,LABELCHARACTER01
BIA_BA_CAL,ASSR_TASK_T,105,LABELCHARACTER02
BIA_BA_CAL,ASSR_TASK_T,106,LABELCHARACTER03
