domainInType,domainInName
AllDomains ,AllDomains 
Aviation,Aviation
ComputerScience,Computer Science
DataWarehouse,DataWarehouse
Education,Education
Engineering ,Engineering 
Finance ,Finance 
Geography ,Geography 
Government,Government
HumanResource,Human Resource
InformationTechnology,Information Technology
Legal,Legal
Marketing,Marketing
Mathematics,Mathematics
Military,Military
Organisation ,Organisation 
Project,Project
Risk,Risk
Sales,Sales
Science,Science
Standard,Standard
StandardEnglish,Standard English
Telecommunication,Telecommunication
Time,Time
Unknown,Unknown
ZDomain,ZDomain  
