Phrase,WordType,Expansion,Domain,Ignore,Discard,MWType,MultiBaseWord,MBW1,MBW2,SubType,Authority,Definition
AAA,Acronym,Authentication Authorisation and Accounting,InformationTechnology,F,F,NotMW,,,,,,
AAPA,Acronym,Aboriginal Area Protection Authority,Organisation,F,F,NotMW,,,,,,
ABC,Acronym,Australian Broadcasting Corporation,Organisation,F,F,NotMW,,,,,,
ABE,Acronym,Aggregated Business Entity,AllDomains,F,F,NotMW,,,,,,
ABN,Acronym,Australian Business Number,Finance,F,F,NotMW,,,,,,
ABS,Acronym,Australian Bureau of Statistics,AllDomains,F,F,NotMW,,,,,,
ACARA,Acronym,"Australian Curriculum, Assessment and Reporting Authority",AllDomains,F,F,NotMW,,,,,,
ACL,Acronym,Access Control List,InformationTechnology,F,F,NotMW,,,,,,
ACMA,Acronym,Australian Communications and Media Authority,Organisation,F,F,NotMW,,,,,,
ACN,Acronym,Australian Company Number,Finance,F,F,NotMW,,,,,,
ACT,Acronym,Australian Capital Territory,Geography,F,F,NotMW,,,,,,
AD,Acronym,Microsoft Active Directory,InformationTechnology,F,F,NotMW,,,,,,
ADW,Acronym,Unknown,AllDomains,F,F,NotMW,,,,,,
AEDC,Acronym,Australian Early Development Census,AllDomains,F,F,NotMW,,,,,,
AEI,Acronym,Australian Education International,AllDomains,F,F,NotMW,,,,,,
AEST,Acronym,Australian Eastern Standard Time,Geography,F,F,NotMW,,,,,,
AL,Acronym,Assessment Level (Framework),AllDomains,F,F,NotMW,,,,,,
ALN,Acronym,Alphanumeric,InformationTechnology,F,F,NotMW,,,,,,
AM,Acronym,Ante Meridiem,Time,F,F,NotMW,,,,,,
AMEP,Acronym,Adult Migrant English Program,AllDomains,F,F,NotMW,,,,,,
AMO,Acronym,Advanced Modelling Objects,InformationTechnology,F,F,NotMW,,,,,,
ANR,Acronym,Annual National Report (on Schooling in Australia),AllDomains,F,F,NotMW,,,,,,
ANZ,Acronym,Australia New Zealand,AllDomains,F,F,NotMW,,,,,,
ANZSCO,Acronym,Australian and New Zealand Standard Classification of Occupations,AllDomains,F,F,NotMW,,,,,,
ANZSIC,Acronym,Australian and New Zealand Standard Industrial Classification,Finance,F,F,NotMW,,,,,,
AON,Acronym,All Or None,InformationTechnology,F,F,NotMW,,,,,,
AP,Acronym,Accounts Payable,Finance,F,F,NotMW,,,,,,
APAR,Acronym,Authorized Program Analysis Report,InformationTechnology,F,F,NotMW,,,,,IBM,
API,Acronym,Application Programming Interface,InformationTechnology,F,F,NotMW,,,,,,
ARC,Acronym,Annual Registration Charge,AllDomains,F,F,NotMW,,,,,,
ARIA,Acronym,Accessibility/Remoteness Index of Australia,AllDomains,F,F,NotMW,,,,,,
ARIS,Acronym,Architecture of Integrated Information Systems,InformationTechnology,F,F,NotMW,,,,System,,
ARSI,Acronym,Unknown,AllDomains,F,F,NotMW,,,,,,
ASAP,Acronym,As Soon As Possible,AllDomains,F,F,NotMW,,,,,,
ASC,Acronym,Australian Spatial Consortium,Organisation,F,F,NotMW,,,,,,
ASCCSS,Acronym,Australian Standard Classification of Countries for Social Statistics,AllDomains,F,F,NotMW,,,,,,
