Phrase	Snippet
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
-	-
Number	#
$I	$I
$K	$K
$N	$N
$R	$R
%	%
(	(
)	)
/	/
__	__
1st	1ST
3PL	3PL
5th	5TH
A	A
AA	AA
AAA	AAA
AAC	AAC
AAL	AAL
AAPA	AAPA
AAR	AAR
AAS	AAS
AB	AB
Abandon	ABANDON
Abandon	Abandon
Abandoned	ABANDONED
Abandth	ABANDTH
Abbrev	ABBREV
Abbrev	Abbrev
Abbreviation	ABBREVIATION
Abbreviation	Abbreviation
ABC	ABC
ABE	ABE
Ability	ABILITY
Ability	Ability
ABN	ABN
Abort	ABORT
Abort	Abort
Aborted	ABORTED
About	ABOUT
Above	ABOVE
Above	Above
Abrv	ABRV
Abrv	Abrv
ABS	ABS
Absence	ABSENCE
Absolute	ABSOLUTE
Absolute	Absolute
Absorption	ABSORPTION
Abstract	ABSTRACT
Abstract	Abstract
Abydos	ABYDOS
AC	AC
Academic	ACADEMIC
Acc	ACC
Acc	Acc
Acc	ACC
Accelerated	ACCELERATED
Accept	ACCEPT
Accept	Accept
Acceptable	ACCEPTABLE
Acceptance	ACCEPTANCE
Acceptance	Acceptance
Acceptances	ACCEPTANCES
Accepted	ACCEPTED
Accepted	Accepted
Acceptexpr	ACCEPTEXPR
Acceptexpr	Acceptexpr
Accepting	ACCEPTING
Accepting	Accepting
Accepts	ACCEPTS
Accepts	Accepts
Access	ACCESS
Access	Access
Accessed	ACCESSED
Accessed	Accessed
Accessible	ACCESSIBLE
Accident	ACCIDENT
Accomodations	ACCOMODATIONS
Account	ACCOUNT
Account	Account
Accountable	ACCOUNTABLE
Accountable	Accountable
Accounted	ACCOUNTED
Accounting	ACCOUNTING
Accounts	ACCOUNTS
Accounts	Accounts
Accountsource	ACCOUNTSOURCE
Accountstatus	ACCOUNTSTATUS
Accrls	ACCRLS
Accrual	ACCRUAL
Accruals	ACCRUALS
Accrue	ACCRUE
Accrued	ACCRUED
Accss	ACCSS
Acct	ACCT
Acct	Acct
Acctd	ACCTD
Acctg	ACCTG
Accts	ACCTS
Acctype	ACCTYPE
Acctype	Acctype
Accum	ACCUM
Accumulate	ACCUMULATE
Accumulated	ACCUMULATED
Accuracy	ACCURACY
Accuracy	Accuracy
ACD	ACD
ACF	ACF
ACG	ACG
ACH	ACH
Ack	ACK
Ack	Ack
Acknowledge	ACKNOWLEDGE
Acknowledge	Acknowledge
Acknowledged	ACKNOWLEDGED
Acknowledged	Acknowledged
Acknowledgements	ACKNOWLEDGEMENTS
Acknowledgment	Acknowledgment
Acknowledgment	ACKNOWLEDGMENT
ACL	ACL
ACM	ACM
ACMA	ACMA
ACN	ACN
Acommitment	ACOMMITMENT
Acommitment	Acommitment
Acquire	ACQUIRE
Acquired	ACQUIRED
Acquisition	ACQUISITION
Acrew	ACREW
Acrew	Acrew
ACT	ACT
ACTCI	ACTCI
Actg	ACTG
Action	ACTION
Action	Action
Actionable	ACTIONABLE
Actioned	ACTIONED
Actions	ACTIONS
Actions	Actions
Actionsource	ACTIONSOURCE
Actionsource	ActionSource
Actionsumm	ACTIONSUMM
Actionsumm	ActionSumm
Activ	ACTIV
Activ	Activ
Activate	ACTIVATE
Activated	ACTIVATED
Activation	ACTIVATION
Activation	Activation
Active	ACTIVE
Active	Active
Activities	ACTIVITIES
Activities	Activities
Activity	ACTIVITY
Activity	Activity
Actl	ACTL
Actl	Actl
Actlab	ACTLAB
Actlab	ActLab
Actn	ACTN
Actor	ACTOR
Actual	ACTUAL
Actual	Actual
Actuals	ACTUALS
Actualstart	ACTUALSTART
Actv	ACTV
Actvty	ACTVTY
Acty	ACTY
Acty	Acty
ACW	ACW
ACWP	ACWP
AD	AD
ADA	ADA
Adapter	ADAPTER
Adapter	Adapter
Adaption	ADAPTION
Adaptive	ADAPTIVE
Adbor	ADBOR
Add	ADD
Add	Add
Added	ADDED
Added	Added
Addendum	ADDENDUM
Adder	ADDER
Adder	Adder
Adding	ADDING
Adding	Adding
Addition	ADDITION
Additional	ADDITIONAL
Additional	Additional
Additional	ADDITIONAL
Additions	ADDITIONS
Addr	ADDR
Addr	Addr
Address	ADDRESS
Address	Address
Addressee	ADDRESSEE
Addresses	ADDRESSES
Addrow	ADDROW
Addrow	Addrow
Addt	ADDT
ADH	ADH
Adherence	ADHERENCE
Adherence	Adherence
Adhoc	ADHOC
Adhoc	Adhoc
Adj	ADJ
Adj	Adj
Adj	ADJ
Adjunct	ADJUNCT
Adjust	ADJUST
Adjust	Adjust
Adjusted	ADJUSTED
Adjustment	ADJUSTMENT
Adjustments	ADJUSTMENTS
Adm	ADM
Adm	Adm
ADM	ADM
Admin	ADMIN
Admin	Admin
Administrative	ADMINISTRATIVE
Admnstrtv	ADMNSTRTV
Adpt	ADPT
Adpt	Adpt
Adr	ADR
ADSL	ADSL
Adv	ADV
Advance	ADVANCE
Advances	ADVANCES
Advertise	ADVERTISE
Advice	ADVICE
Advised	ADVISED
ADW	ADW
AE	AE
AEB	AEB
AEST	AEST
AET	AET
AF	AF
AFA	AFA
AFAL	AFAL
Affairs	AFFAIRS
Affect	AFFECT
Affected	AFFECTED
Affected	Affected
AFT	AFT
After	AFTER
After	After
AG	AG
Against	AGAINST
Against	Against
Age	AGE
Age	Age
Aged	AGED
Agencies	AGENCIES
Agency	AGENCY
Agency	Agency
Agent	AGENT
Agent	Agent
Agents	AGENTS
Agg	AGG
Agg	Agg
Aggegation	AGGEGATION
Aggr	AGGR
Aggregate	Aggregate
Aggregate	AGGREGATE
Aggregator	AGGREGATOR
Aggrgtn	AGGRGTN
Aging	AGING
Ago	Ago
Ago	AGO
Agree	AGREE
Agreed	AGREED
Agreed	Agreed
Agreement	AGREEMENT
Agreements	AGREEMENTS
AGS	AGS
AGV	AGV
AH	AH
Ahead	AHEAD
Ahead	Ahead
AHL	AHL
AHT	AHT
AI	AI
Aid	AID
AIL	AIL
Airbill	AIRBILL
AJ	AJ
AJL	AJL
AK	AK
AL	AL
ALA	ALA
Alab	ALAB
Alab	Alab
Alarm	ALARM
Alarm	Alarm
ALC	ALC
Alcatel	ALCATEL
Alert	ALERT
Alert	Alert
Alertstatus	Alert Status
Alerted	ALERTED
Alerts	ALERTS
Alerts	Alerts
Alertstatus	ALERTSTATUS
ALH	ALH
Alias	ALIAS
Alias	Alias
Aliased	ALIASED
Alib	ALIB
Alib	Alib
Aligned	ALIGNED
All	ALL
All	All
Alleged	ALLEGED
Allocate	ALLOCATE
Allocate	Allocate
Allocated	Allocated
Allocated	ALLOCATED
Allocation	ALLOCATION
Allocation	Allocation
Allocator	ALLOCATOR
Allow	ALLOW
Allow	Allow
Allowable	ALLOWABLE
Allowed	ALLOWED
Allowed	Allowed
ALM	ALM
ALN	ALN
Alone	ALONE
Alone	Alone
Alpha	ALPHA
Alphanumeric	ALPHANUMERIC
Alphanumeric	Alphanumeric
ALS	ALS
Also	ALSO
Also	Also
Alt	ALT
Alt	Alt
Alter	ALTER
Alter	Alter
Alteration	ALTERATION
Alteration	Alteration
Alternate	ALTERNATE
Alternate	Alternate
Alternative	ALTERNATIVE
Alternative	Alternative
Altitude	ALTITUDE
Altitude	Altitude
Altkey	ALTKEY
Altkey	Altkey
ALU	ALU
ALUA	ALUA
Always	ALWAYS
Always	Always
AM	AM
AM	Am
Amb	AMB
Amber	AMBER
Amber	Amber
Ambulance	AMBULANCE
Amct	AMCT
Amct	Amct
AME	AME
Amend	AMEND
Amend	Amend
Amended	AMENDED
Amit	AMIT
AMO	AMO
Amort	AMORT
Amortise	AMORTISE
Amortization	AMORTIZATION
Amount	AMOUNT
Amount	Amount
Amounts	AMOUNTS
Amplifier	AMPLIFIER
AMS	AMS
Amt	AMT
Amt	Amt
Amts	AMTS
AN	AN
Analysis	ANALYSIS
Analysis	Analysis
Analytical	ANALYTICAL
Anaplan	ANAPLAN
Ancestor	ANCESTOR
Ancestor	Ancestor
Ancillary	ANCILLARY
And	AND
And	And
And	and
Andor	ANDOR
Andor	Andor
Angle	ANGLE
ANH	ANH
ANI	ANI
Animation	ANIMATION
Animation	Animation
ANN	ANN
Annex	ANNEX
Annotation	ANNOTATION
Annotation	Annotation
Announcement	ANNOUNCEMENT
Annual	ANNUAL
Annualized	ANNUALIZED
Anonymity	ANONYMITY
Anonymous	ANONYMOUS
ANR	ANR
ANSTH	ANSTH
Answer	ANSWER
Answer	Answer
Answers	ANSWERS
Antenna	ANTENNA
Anti	ANTI
Anticip	ANTICIP
Anticipated	ANTICIPATED
Anys	ANYS
